id,query,success,error
11,"-- meta {""num_joins"":3,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select users_1.profileimageurl, postlinks_1.postid, users_1.displayname from postlinks as postlinks_1 inner join users as users_1 inner join postlinks as postlinks_2 on (users_1.id = postlinks_2.id ) on (postlinks_1.id = users_1.id ) where postlinks_2.postid is not NULL limit 30) EXCEPT (select posthistory_1.posthistorytypeid, posthistory_1.postid, posthistory_1.userdisplayname from postlinks as postlinks_3 inner join posthistory as posthistory_1 on (postlinks_3.id = posthistory_1.id ) where posthistory_1.userdisplayname is not NULL limit 40);",NO,"ERREUR:  l'attribut 1 de type record a un mauvais type DÉTAIL : La table a le type bigint alors que la requête attend double precision."
12,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select posthistory_1.postid, posthistory_1.userdisplayname, posthistory_1.contentlicense, posthistory_1.id from posthistory as posthistory_1 where posthistory_1.comment = posthistory_1.text limit 34) EXCEPT (select posthistory_2.id, posthistory_2.revisionguid, posthistory_2.contentlicense, posthistory_2.posthistorytypeid from posthistory as posthistory_2 where posthistory_2.text <= posthistory_2.contentlicense limit 16);",YES,""
13,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select postlinks_1.postid, posts_1.tags, posts_1.owneruserid from postlinks as postlinks_1 inner join posts as posts_1 on (postlinks_1.id = posts_1.id ) where posts_1.parentid is not NULL limit 23) EXCEPT (select users_1.profileimageurl, users_1.aboutme, votes_1.votetypeid from votes as votes_1 inner join users as users_1 on (votes_1.id = users_1.id ) where users_1.aboutme is not NULL limit 42);",NO,"ERREUR:  l'attribut 1 de type record a un mauvais type DÉTAIL : La table a le type bigint alors que la requête attend double precision."
14,"-- meta {""num_joins"":3,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select comments_1.creationdate, votes_2.id, votes_1.votetypeid, comments_1.userid, votes_2.creationdate, votes_1.creationdate, comments_1.id, comments_2.text, votes_2.postid, comments_2.contentlicense, comments_2.postid from votes as votes_1 inner join comments as comments_1 inner join votes as votes_2 on (comments_1.id = votes_2.id ) inner join comments as comments_2 on (votes_2.id = comments_2.id ) on (votes_1.id = comments_1.id ) where comments_2.userdisplayname is not NULL limit 3;",YES,""
15,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select posthistory_1.postid, comments_1.postid, comments_1.userdisplayname, comments_1.userid, comments_1.id from posthistory as posthistory_1 inner join comments as comments_1 on (posthistory_1.id = comments_1.id ) where comments_1.id is not NULL limit 22;",YES,""
16,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select posthistory_1.posthistorytypeid, posthistory_1.userid from posthistory as posthistory_1 where posthistory_1.userid is not NULL limit 26) EXCEPT (select postlinks_1.linktypeid, postlinks_1.id from postlinks as postlinks_1 where postlinks_1.postid is not NULL limit 19);",YES,""
17,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select postlinks_1.relatedpostid, postlinks_1.id, postlinks_1.linktypeid, postlinks_1.postid from postlinks as postlinks_1 where postlinks_1.postid < postlinks_1.id limit 39) EXCEPT (select posthistory_1.posthistorytypeid, posthistory_1.id, posthistory_1.postid, posthistory_1.userid from posthistory as posthistory_1 where posthistory_1.userid is not NULL limit 31);",YES,""
18,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select posts_1.creationdate, posts_1.acceptedanswerid, posts_1.id, posts_1.owneruserid, posts_1.posttypeid, posts_1.parentid, posts_1.title from posts as posts_1 where posts_1.contentlicense is not NULL limit 2) EXCEPT (select votes_1.creationdate, posthistory_1.id, votes_1.id, votes_1.postid, votes_1.votetypeid, posthistory_1.userid, posthistory_1.userdisplayname from votes as votes_1 inner join posthistory as posthistory_1 on (votes_1.id = posthistory_1.id ) where votes_1.userid is not NULL limit 20);",YES,""
19,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select comments_2.id, badges_1.date from comments as comments_1 inner join badges as badges_1 inner join comments as comments_2 on (badges_1.id = comments_2.id ) on (comments_1.id = badges_1.id ) where comments_2.creationdate = badges_1.date limit 35) EXCEPT (select badges_2.id, badges_2.date from badges as badges_2 where badges_2.name is not NULL limit 14);",YES,""
20,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select votes_1.creationdate, votes_1.postid from comments as comments_1 inner join votes as votes_1 on (comments_1.id = votes_1.id ) where comments_1.userid is not NULL limit 20) UNION (select postlinks_1.creationdate, postlinks_1.linktypeid from users as users_1 inner join postlinks as postlinks_1 on (users_1.id = postlinks_1.id ) where postlinks_1.relatedpostid is not NULL limit 3);",YES,""
21,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select votes_1.userid, posthistory_1.id, posthistory_1.userid, votes_1.id, votes_1.creationdate, posthistory_1.comment from votes as votes_1 inner join posthistory as posthistory_1 on (votes_1.id = posthistory_1.id ) where posthistory_1.userdisplayname = posthistory_1.comment limit 1) UNION (select posts_1.posttypeid, posts_1.owneruserid, posts_1.id, posts_1.parentid, posts_1.creationdate, comments_1.userdisplayname from comments as comments_1 inner join posts as posts_1 on (comments_1.id = posts_1.id ) where comments_1.postid is not NULL limit 23);",YES,""
22,"-- meta {""num_joins"":5,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select posts_1.ownerdisplayname, posts_1.parentid from posts as posts_1 where posts_1.id is not NULL limit 17) EXCEPT (select posts_2.ownerdisplayname, votes_1.postid from posts as posts_2 inner join badges as badges_1 on (posts_2.id = badges_1.id ) inner join votes as votes_1 on (posts_2.id = votes_1.id ) inner join postlinks as postlinks_1 inner join posts as posts_3 on (postlinks_1.id = posts_3.id ) inner join votes as votes_2 on (postlinks_1.id = votes_2.id ) on (badges_1.id = votes_2.id ) where posts_3.body >= posts_2.body limit 27);",YES,""
23,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select comments_1.userid, comments_1.contentlicense, comments_1.postid from comments as comments_1 where comments_1.creationdate = comments_1.creationdate limit 38) UNION (select posthistory_1.userid, posthistory_1.revisionguid, posthistory_1.postid from posthistory as posthistory_1 where posthistory_1.comment is not NULL limit 31);",YES,""
24,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select users_1.id, users_1.aboutme, users_1.creationdate from users as users_1 where users_1.aboutme is not NULL limit 21) EXCEPT (select comments_1.id, comments_1.contentlicense, comments_1.creationdate from comments as comments_1 where comments_1.id > comments_1.postid limit 28);",YES,""
25,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select comments_1.userid, comments_1.postid, comments_1.text, comments_1.userdisplayname, comments_1.contentlicense from comments as comments_1 where comments_1.id is not NULL limit 7;",YES,""
26,"-- meta {""num_joins"":3,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select posts_1.contentlicense, comments_1.creationdate, users_1.displayname, users_1.accountid, comments_1.contentlicense, users_1.profileimageurl, comments_1.userdisplayname from users as users_1 inner join comments as comments_1 inner join users as users_2 inner join posts as posts_1 on (users_2.id = posts_1.id ) on (comments_1.id = posts_1.id ) on (users_1.id = users_2.id ) where users_2.websiteurl is not NULL limit 30) UNION (select users_3.websiteurl, users_3.creationdate, users_3.aboutme, users_3.profileimageurl, users_3.displayname, users_3.id, users_3.location from users as users_3 where users_3.aboutme is not NULL limit 32);",YES,""
27,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select votes_1.id from votes as votes_1 where votes_1.creationdate < votes_1.creationdate limit 21) UNION (select posthistory_1.postid from posthistory as posthistory_1 where posthistory_1.userdisplayname is not NULL limit 3);",YES,""
28,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select votes_1.postid, votes_1.creationdate, votes_1.votetypeid, votes_1.id from votes as votes_1 where votes_1.votetypeid is not NULL limit 37) UNION (select users_1.profileimageurl, users_1.creationdate, users_1.id, users_1.accountid from users as users_1 where users_1.location is not NULL limit 23);",YES,""
29,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select comments_1.contentlicense, comments_1.userid, comments_2.id from comments as comments_1 inner join comments as comments_2 on (comments_1.id = comments_2.id ) where comments_2.userdisplayname is not NULL limit 27) UNION (select comments_3.userdisplayname, comments_3.id, comments_3.userid from comments as comments_3 where comments_3.creationdate > comments_3.creationdate limit 34);",YES,""
30,"-- meta {""num_joins"":3,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select posts_2.parentid, posts_2.id, posts_1.id, posthistory_1.userid from posthistory as posthistory_1 inner join posts as posts_1 on (posthistory_1.id = posts_1.id ) inner join posts as posts_2 on (posthistory_1.id = posts_2.id ) inner join comments as comments_1 on (posts_1.id = comments_1.id ) where posthistory_1.text < posts_1.title limit 41;",YES,""
31,"-- meta {""num_joins"":4,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select comments_1.userdisplayname, posthistory_1.comment from posthistory as posthistory_1 inner join postlinks as postlinks_1 inner join comments as comments_1 on (postlinks_1.id = comments_1.id ) on (posthistory_1.id = postlinks_1.id ) where posthistory_1.id is not NULL limit 28) EXCEPT (select comments_2.userdisplayname, comments_3.contentlicense from postlinks as postlinks_2 inner join comments as comments_2 inner join comments as comments_3 on (comments_2.id = comments_3.id ) on (postlinks_2.id = comments_2.id ) where postlinks_2.id is not NULL limit 3);",YES,""
32,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select badges_1.class, badges_1.id, badges_1.name from badges as badges_1 where badges_1.userid is not NULL limit 14) EXCEPT (select comments_1.id, comments_1.postid, comments_1.userdisplayname from comments as comments_1 where comments_1.id is not NULL limit 36);",YES,""
33,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select users_1.displayname, users_1.id, users_1.location, users_1.websiteurl, users_1.aboutme from users as users_1 where users_1.location is not NULL limit 20) UNION (select users_2.location, votes_1.postid, users_2.displayname, users_2.aboutme, users_2.websiteurl from votes as votes_1 inner join postlinks as postlinks_1 on (votes_1.id = postlinks_1.id ) inner join users as users_2 on (postlinks_1.id = users_2.id ) where postlinks_1.linktypeid is not NULL limit 24);",YES,""
34,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select posthistory_1.userid from posthistory as posthistory_1 where posthistory_1.revisionguid is not NULL limit 26) EXCEPT (select posts_1.id from posts as posts_1 where posts_1.id is not NULL limit 1);",YES,""
35,"-- meta {""num_joins"":4,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select comments_1.userdisplayname, comments_1.id from comments as comments_1 where comments_1.contentlicense is not NULL limit 10) EXCEPT (select comments_2.text, votes_2.userid from votes as votes_1 inner join posthistory as posthistory_1 inner join users as users_1 inner join votes as votes_2 on (users_1.id = votes_2.id ) on (posthistory_1.id = votes_2.id ) inner join comments as comments_2 on (posthistory_1.id = comments_2.id ) on (votes_1.id = users_1.id ) where votes_1.userid is not NULL limit 37);",YES,""
36,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select badges_1.id, comments_1.contentlicense, badges_1.tagbased from badges as badges_1 inner join comments as comments_1 on (badges_1.id = comments_1.id ) where badges_1.class is not NULL limit 40) EXCEPT (select badges_3.userid, badges_3.name, badges_2.tagbased from badges as badges_2 inner join badges as badges_3 on (badges_2.id = badges_3.id ) where badges_2.class is not NULL limit 3);",YES,""
37,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select users_1.aboutme from users as users_1 where users_1.accountid is not NULL limit 31) EXCEPT (select posts_1.ownerdisplayname from posts as posts_1 inner join postlinks as postlinks_1 on (posts_1.id = postlinks_1.id ) where posts_1.creationdate is not NULL limit 29);",YES,""
38,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select postlinks_1.linktypeid, postlinks_1.postid, postlinks_1.id, postlinks_1.relatedpostid from postlinks as postlinks_1 where postlinks_1.creationdate is not NULL limit 7;",YES,""
39,"-- meta {""num_joins"":4,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select users_1.displayname, postlinks_1.creationdate from users as users_1 inner join postlinks as postlinks_1 on (users_1.id = postlinks_1.id ) where postlinks_1.creationdate is not NULL limit 41) UNION (select posthistory_1.contentlicense, votes_1.creationdate from comments as comments_1 inner join votes as votes_1 on (comments_1.id = votes_1.id ) inner join postlinks as postlinks_2 inner join posthistory as posthistory_1 on (postlinks_2.id = posthistory_1.id ) on (comments_1.id = postlinks_2.id ) where votes_1.userid is not NULL limit 1);",YES,""
40,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select posts_1.ownerdisplayname from posts as posts_1 where posts_1.id is not NULL limit 7;",YES,""
41,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select posthistory_1.contentlicense, posthistory_1.creationdate, posthistory_1.posthistorytypeid from posthistory as posthistory_1 where posthistory_1.creationdate is not NULL limit 18) EXCEPT (select badges_1.name, badges_1.date, badges_1.id from badges as badges_1 where badges_1.tagbased is not NULL limit 9);",YES,""
42,"-- meta {""num_joins"":3,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select posts_1.parentid, users_1.profileimageurl, users_1.displayname from posts as posts_1 inner join users as users_1 on (posts_1.id = users_1.id ) where users_1.creationdate is not NULL limit 24) EXCEPT (select posts_2.owneruserid, posts_2.acceptedanswerid, posts_2.tags from comments as comments_1 inner join postlinks as postlinks_1 on (comments_1.id = postlinks_1.id ) inner join posts as posts_2 on (comments_1.id = posts_2.id ) where comments_1.userdisplayname <= comments_1.text limit 23);",NO,"ERREUR:  l'attribut 2 de type record a un mauvais type DÉTAIL : La table a le type bigint alors que la requête attend double precision."
43,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select votes_1.votetypeid, votes_1.creationdate, postlinks_1.id, postlinks_1.postid, postlinks_1.creationdate, votes_1.id, votes_1.postid from postlinks as postlinks_1 inner join votes as votes_1 on (postlinks_1.id = votes_1.id ) where votes_1.creationdate is not NULL limit 42) EXCEPT (select postlinks_2.id, posts_1.creationdate, posts_1.owneruserid, posts_1.acceptedanswerid, postlinks_2.creationdate, postlinks_2.postid, posts_1.parentid from postlinks as postlinks_2 inner join posts as posts_1 on (postlinks_2.id = posts_1.id ) where postlinks_2.linktypeid is not NULL limit 10);",YES,""
44,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select badges_1.id from badges as badges_1 where badges_1.date = badges_1.date limit 21) EXCEPT (select postlinks_1.linktypeid from postlinks as postlinks_1 where postlinks_1.id >= postlinks_1.relatedpostid limit 21);",YES,""
45,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select posts_1.posttypeid from posts as posts_1 where posts_1.title is not NULL limit 23) EXCEPT (select posts_2.parentid from posts as posts_2 where posts_2.body is not NULL limit 37);",YES,""
46,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select users_1.location, users_1.websiteurl from users as users_1 where users_1.accountid is not NULL limit 2) UNION (select badges_1.name, badges_1.name from badges as badges_1 where badges_1.id >= badges_1.class limit 22);",YES,""
47,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select posts_1.id, posts_1.parentid, posts_1.posttypeid from posts as posts_1 where posts_1.creationdate > posts_1.creationdate limit 2) UNION (select users_1.accountid, votes_1.userid, users_1.profileimageurl from users as users_1 inner join votes as votes_1 on (users_1.id = votes_1.id ) where votes_1.id is not NULL limit 14);",YES,""
48,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":false} select posts_1.posttypeid from posts as posts_1 where posts_1.body is not NULL limit 23;",YES,""
49,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select users_1.websiteurl, users_1.accountid, users_1.profileimageurl, users_1.id from users as users_1 where users_1.websiteurl is not NULL limit 22) UNION (select comments_1.text, comments_1.userid, comments_1.postid, comments_1.id from comments as comments_1 where comments_1.creationdate is not NULL limit 37);",YES,""
50,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select users_2.profileimageurl from users as users_1 inner join users as users_2 on (users_1.id = users_2.id ) where users_2.websiteurl is not NULL limit 32) UNION (select users_3.id from comments as comments_1 inner join users as users_3 on (comments_1.id = users_3.id ) where users_3.websiteurl < comments_1.text limit 8);",YES,""
51,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select postlinks_1.id, postlinks_1.postid, postlinks_1.creationdate, postlinks_1.linktypeid, postlinks_1.relatedpostid from postlinks as postlinks_1 where postlinks_1.linktypeid is not NULL limit 8) UNION (select users_1.id, users_1.accountid, users_1.creationdate, users_1.profileimageurl, users_1.accountid from users as users_1 where users_1.websiteurl is not NULL limit 16);",YES,""
52,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select comments_1.id, comments_1.userid from comments as comments_1 where comments_1.postid is not NULL limit 33) UNION (select postlinks_1.id, postlinks_1.relatedpostid from postlinks as postlinks_1 where postlinks_1.id is not NULL limit 2);",YES,""
53,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select comments_1.contentlicense, comments_1.postid, comments_1.userid, comments_1.text from comments as comments_1 where comments_1.userdisplayname is not NULL limit 34) EXCEPT (select posthistory_1.contentlicense, posthistory_1.userid, comments_2.userid, comments_2.userdisplayname from comments as comments_2 inner join posthistory as posthistory_1 on (comments_2.id = posthistory_1.id ) where comments_2.userdisplayname is not NULL limit 1);",YES,""
54,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select comments_1.userdisplayname, comments_1.text, comments_1.userid from comments as comments_1 where comments_1.userdisplayname is not NULL limit 9) EXCEPT (select distinct badges_1.name, badges_1.name, badges_1.userid from postlinks as postlinks_1 inner join votes as votes_1 on (postlinks_1.id = votes_1.id ) inner join badges as badges_1 on (postlinks_1.id = badges_1.id ) where votes_1.id > badges_1.id limit 35);",YES,""
55,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select users_2.location from users as users_1 inner join users as users_2 on (users_1.id = users_2.id ) inner join posthistory as posthistory_1 on (users_2.id = posthistory_1.id ) where posthistory_1.contentlicense > posthistory_1.text limit 18) EXCEPT (select posts_1.ownerdisplayname from posts as posts_1 where posts_1.body is not NULL limit 20);",YES,""
56,"-- meta {""num_joins"":4,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select postlinks_1.relatedpostid, votes_2.id, votes_4.creationdate from votes as votes_1 inner join votes as votes_2 on (votes_1.id = votes_2.id ) inner join postlinks as postlinks_1 inner join votes as votes_3 inner join votes as votes_4 on (votes_3.id = votes_4.id ) on (postlinks_1.id = votes_3.id ) on (votes_1.id = votes_4.id ) where votes_3.id is not NULL limit 32) EXCEPT (select posts_1.posttypeid, posts_1.owneruserid, posts_1.creationdate from posts as posts_1 where posts_1.ownerdisplayname is not NULL limit 37);",YES,""
57,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select users_1.profileimageurl, users_1.location from users as users_1 where users_1.creationdate = users_1.creationdate limit 25) UNION (select posthistory_1.postid, posthistory_1.revisionguid from posthistory as posthistory_1 where posthistory_1.contentlicense is not NULL limit 37);",YES,""
58,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":false,""has_intersect"":false,""has_negation"":true} (select votes_1.userid, votes_1.votetypeid, votes_1.creationdate, votes_1.id from votes as votes_1 where votes_1.postid is not NULL limit 41) EXCEPT (select users_1.profileimageurl, users_1.accountid, users_1.creationdate, users_1.id from users as users_1 where users_1.aboutme is not NULL limit 23);",NO,"ERREUR:  l'attribut 1 de type record a un mauvais type DÉTAIL : La table a le type bigint alors que la requête attend double precision."
59,"-- meta {""num_joins"":4,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select votes_1.userid, votes_2.creationdate, users_1.location, votes_2.id, users_1.websiteurl, votes_2.postid, votes_1.creationdate, badges_2.id from badges as badges_1 inner join votes as votes_1 inner join votes as votes_2 on (votes_1.id = votes_2.id ) on (badges_1.id = votes_2.id ) inner join users as users_1 inner join badges as badges_2 on (users_1.id = badges_2.id ) on (votes_1.id = users_1.id ) where users_1.websiteurl is not NULL limit 16) UNION (select users_2.accountid, users_2.creationdate, users_2.displayname, users_2.id, users_2.location, users_2.profileimageurl, users_2.creationdate, users_2.profileimageurl from users as users_2 where users_2.accountid is not NULL limit 31);",YES,""
60,"-- meta {""num_joins"":2,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select postlinks_1.relatedpostid from postlinks as postlinks_1 inner join comments as comments_1 on (postlinks_1.id = comments_1.id ) where postlinks_1.linktypeid is not NULL limit 28) UNION (select users_1.accountid from users as users_1 inner join postlinks as postlinks_2 on (users_1.id = postlinks_2.id ) where users_1.websiteurl is not NULL limit 39);",YES,""
61,"-- meta {""num_joins"":0,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select votes_1.id, votes_1.creationdate, votes_1.postid from votes as votes_1 where votes_1.id is not NULL limit 30) UNION (select users_1.profileimageurl, users_1.creationdate, users_1.id from users as users_1 where users_1.location is not NULL limit 41);",YES,""
62,"-- meta {""num_joins"":1,""num_aggregates"":0,""has_union"":true,""has_intersect"":false,""has_negation"":false} (select users_1.location from users as users_1 where users_1.creationdate is not NULL limit 37) UNION (select posthistory_1.revisionguid from posthistory as posthistory_1 inner join posts as posts_1 on (posthistory_1.id = posts_1.id ) where posthistory_1.userdisplayname is not NULL limit 38);",YES,""
